Entity,Code,Year,Rapeseed | 00000270 || Production | 005510 || tonnes
Algeria,DZA,2008,28905
Algeria,DZA,2009,25228
Algeria,DZA,2010,25316
Algeria,DZA,2011,24832
Algeria,DZA,2012,24348
Algeria,DZA,2013,23864
Algeria,DZA,2014,23530
Algeria,DZA,2015,23822
Algeria,DZA,2016,23755
Algeria,DZA,2017,23207
Algeria,DZA,2018,23344
Algeria,DZA,2019,23071
Algeria,DZA,2020,22794
Americas (FAO),,1961,299044
Americas (FAO),,1962,167951
Americas (FAO),,1963,247291
Americas (FAO),,1964,365857
Americas (FAO),,1965,594003
Americas (FAO),,1966,669197
Americas (FAO),,1967,627056
Americas (FAO),,1968,494641
Americas (FAO),,1969,828184
Americas (FAO),,1970,1714893
Americas (FAO),,1971,2245397
Americas (FAO),,1972,1384884
Americas (FAO),,1973,1252548
Americas (FAO),,1974,1204684
Americas (FAO),,1975,1906743
Americas (FAO),,1976,948132
Americas (FAO),,1977,2063840
Americas (FAO),,1978,3558276
Americas (FAO),,1979,3484240
Americas (FAO),,1980,2585982
Americas (FAO),,1981,1892390
Americas (FAO),,1982,2279220
Americas (FAO),,1983,2626942
Americas (FAO),,1984,3429090
Americas (FAO),,1985,3540915
Americas (FAO),,1986,3894548
Americas (FAO),,1987,3967707
Americas (FAO),,1988,4371603
Americas (FAO),,1989,3408163
Americas (FAO),,1990,3400234
Americas (FAO),,1991,4402084
Americas (FAO),,1992,4073556
Americas (FAO),,1993,5710416
Americas (FAO),,1994,7489515
Americas (FAO),,1995,6741012
Americas (FAO),,1996,5335821
Americas (FAO),,1997,6795097
Americas (FAO),,1998,8434924
Americas (FAO),,1999,9529062
Americas (FAO),,2000,8231671
Americas (FAO),,2001,6058200
Americas (FAO),,2002,5285687
Americas (FAO),,2003,7555653
Americas (FAO),,2004,8428918
Americas (FAO),,2005,10399834
Americas (FAO),,2006,9808746
Americas (FAO),,2007,10444757
Americas (FAO),,2008,13493365
Americas (FAO),,2009,13805029
Americas (FAO),,2010,14150869
Americas (FAO),,2011,15571488
Americas (FAO),,2012,15323125
Americas (FAO),,2013,20015747
Americas (FAO),,2014,17984223
Americas (FAO),,2015,20219738
Americas (FAO),,2016,21504967
Americas (FAO),,2017,23165321
Americas (FAO),,2018,22380500
Americas (FAO),,2019,21885807
Americas (FAO),,2020,21474313
Argentina,ARG,1961,4800
Argentina,ARG,1962,4500
Argentina,ARG,1963,5300
Argentina,ARG,1964,7350
Argentina,ARG,1965,5500
Argentina,ARG,1966,1950
Argentina,ARG,1967,1150
Argentina,ARG,1968,1700
Argentina,ARG,1969,2050
Argentina,ARG,1970,1450
Argentina,ARG,1971,2650
Argentina,ARG,1972,1370
Argentina,ARG,1973,930
Argentina,ARG,1974,400
Argentina,ARG,1975,150
Argentina,ARG,1976,400
Argentina,ARG,1977,2000
Argentina,ARG,1978,3000
Argentina,ARG,1979,5538
Argentina,ARG,1980,23052
Argentina,ARG,1981,1600
Argentina,ARG,1982,2000
Argentina,ARG,1983,2000
Argentina,ARG,1984,2000
Argentina,ARG,1985,2000
Argentina,ARG,1986,2000
Argentina,ARG,1987,2000
Argentina,ARG,1988,2000
Argentina,ARG,1989,22800
Argentina,ARG,1990,17000
Argentina,ARG,1991,17000
Argentina,ARG,1992,57052
Argentina,ARG,1993,30090
Argentina,ARG,1994,11575
Argentina,ARG,1995,21316
Argentina,ARG,1996,9305
Argentina,ARG,1997,4000
Argentina,ARG,1998,2173
Argentina,ARG,1999,2200
Argentina,ARG,2000,6015
Argentina,ARG,2001,15380
Argentina,ARG,2002,2320
Argentina,ARG,2003,10450
Argentina,ARG,2004,20285
Argentina,ARG,2005,26050
Argentina,ARG,2006,9140
Argentina,ARG,2007,11230
Argentina,ARG,2008,20411
Argentina,ARG,2009,61167
Argentina,ARG,2010,17215
Argentina,ARG,2011,23335
Argentina,ARG,2012,50620
Argentina,ARG,2013,128320
Argentina,ARG,2014,111900
Argentina,ARG,2015,104849
Argentina,ARG,2016,67381
Argentina,ARG,2017,49840
Argentina,ARG,2018,35449
Argentina,ARG,2019,39689
Argentina,ARG,2020,32514
Asia,,1961,2327699
Asia,,1962,2409931
Asia,,1963,2312300
Asia,,1964,2329850
Asia,,1965,3031759
Asia,,1966,2604471
Asia,,1967,2651200
Asia,,1968,2968554
Asia,,1969,2672799
Asia,,1970,2967191
Asia,,1971,3680233
Asia,,1972,3285037
Asia,,1973,3588845
Asia,,1974,3523284
Asia,,1975,4197710
Asia,,1976,3714528
Asia,,1977,3188293
Asia,,1978,3929993
Asia,,1979,4803120
Asia,,1980,4343252
Asia,,1981,6872886
Asia,,1982,8534811
Asia,,1983,6990996
Asia,,1984,7295945
Asia,,1985,9210086
Asia,,1986,9081417
Asia,,1987,9661913
Asia,,1988,8935844
Asia,,1989,10280524
Asia,,1990,11544622
Asia,,1991,13128960
Asia,,1992,14039978
Asia,,1993,12212919
Asia,,1994,13287661
Asia,,1995,16026492
Asia,,1996,15709248
Asia,,1997,16745444
Asia,,1998,13562367
Asia,,1999,16350574
Asia,,2000,17724891
Asia,,2001,16030593
Asia,,2002,16158138
Asia,,2003,15879090
Asia,,2004,20062091
Asia,,2005,21322892
Asia,,2006,19867798
Asia,,2007,18935660
Asia,,2008,18704137
Asia,,2009,21639471
Asia,,2010,20451731
Asia,,2011,22458019
Asia,,2012,21442709
Asia,,2013,23357240
Asia,,2014,23718785
Asia,,2015,21201033
Asia,,2016,21080929
Asia,,2017,22460828
Asia,,2018,23296174
Asia,,2019,24205982
Asia,,2020,24691356
Asia (FAO),,1961,2327699
Asia (FAO),,1962,2409931
Asia (FAO),,1963,2312300
Asia (FAO),,1964,2329850
Asia (FAO),,1965,3031759
Asia (FAO),,1966,2604471
Asia (FAO),,1967,2651200
Asia (FAO),,1968,2968554
Asia (FAO),,1969,2672799
Asia (FAO),,1970,2967191
Asia (FAO),,1971,3680233
Asia (FAO),,1972,3285037
Asia (FAO),,1973,3588845
Asia (FAO),,1974,3523284
Asia (FAO),,1975,4197710
Asia (FAO),,1976,3714528
Asia (FAO),,1977,3188293
Asia (FAO),,1978,3929993
Asia (FAO),,1979,4803120
Asia (FAO),,1980,4343252
Asia (FAO),,1981,6872886
Asia (FAO),,1982,8534811
Asia (FAO),,1983,6990996
Asia (FAO),,1984,7295945
Asia (FAO),,1985,9210086
Asia (FAO),,1986,9081417
Asia (FAO),,1987,9661913
Asia (FAO),,1988,8935844
Asia (FAO),,1989,10280524
Asia (FAO),,1990,11544622
Asia (FAO),,1991,13128960
Asia (FAO),,1992,14039978
Asia (FAO),,1993,12212919
Asia (FAO),,1994,13287661
Asia (FAO),,1995,16026492
Asia (FAO),,1996,15709248
Asia (FAO),,1997,16745444
Asia (FAO),,1998,13562367
Asia (FAO),,1999,16350574
Asia (FAO),,2000,17724891
Asia (FAO),,2001,16030593
Asia (FAO),,2002,16158138
Asia (FAO),,2003,15879090
Asia (FAO),,2004,20062091
Asia (FAO),,2005,21322892
Asia (FAO),,2006,19867798
Asia (FAO),,2007,18935660
Asia (FAO),,2008,18704137
Asia (FAO),,2009,21639471
Asia (FAO),,2010,20451731
Asia (FAO),,2011,22458019
Asia (FAO),,2012,21442709
Asia (FAO),,2013,23357240
Asia (FAO),,2014,23718785
Asia (FAO),,2015,21201033
Asia (FAO),,2016,21080929
Asia (FAO),,2017,22460828
Asia (FAO),,2018,23296174
Asia (FAO),,2019,24205982
Asia (FAO),,2020,24691356
Australia,AUS,1968,508
Australia,AUS,1969,4470
Australia,AUS,1970,33630
Australia,AUS,1971,54614
Australia,AUS,1972,25037
Australia,AUS,1973,10598
Australia,AUS,1974,8533
Australia,AUS,1975,11937
Australia,AUS,1976,8509
Australia,AUS,1977,15710
Australia,AUS,1978,23426
Australia,AUS,1979,41131
Australia,AUS,1980,17233
Australia,AUS,1981,14535
Australia,AUS,1982,6748
Australia,AUS,1983,17194
Australia,AUS,1984,32370
Australia,AUS,1985,87030
Australia,AUS,1986,76470
Australia,AUS,1987,65914
Australia,AUS,1988,58252
Australia,AUS,1989,78151
Australia,AUS,1990,98399
Australia,AUS,1991,170448
Australia,AUS,1992,177902
Australia,AUS,1993,305020
Australia,AUS,1994,263892
Australia,AUS,1995,557054
Australia,AUS,1996,623239
Australia,AUS,1997,855000
Australia,AUS,1998,1690000
Australia,AUS,1999,2426000
Australia,AUS,2000,1775000
Australia,AUS,2001,1775019
Australia,AUS,2002,1755863
Australia,AUS,2003,870827
Australia,AUS,2004,1703117
Australia,AUS,2005,1542319
Australia,AUS,2006,1418941
Australia,AUS,2007,573325
Australia,AUS,2008,1214373
Australia,AUS,2009,1844157
Australia,AUS,2010,1907272
Australia,AUS,2011,2358735
Australia,AUS,2012,3427294
Australia,AUS,2013,4141731
Australia,AUS,2014,3832049
Australia,AUS,2015,3540021
Australia,AUS,2016,2775479
Australia,AUS,2017,4313230
Australia,AUS,2018,3893071
Australia,AUS,2019,2365839
Australia,AUS,2020,2298529
Austria,AUT,1961,9055
Austria,AUT,1962,8828
Austria,AUT,1963,7489
Austria,AUT,1964,10517
Austria,AUT,1965,11573
Austria,AUT,1966,13642
Austria,AUT,1967,15183
Austria,AUT,1968,11931
Austria,AUT,1969,8507
Austria,AUT,1970,7906
Austria,AUT,1971,6970
Austria,AUT,1972,6751
Austria,AUT,1973,4824
Austria,AUT,1974,4679
Austria,AUT,1975,4958
Austria,AUT,1976,4403
Austria,AUT,1977,4867
Austria,AUT,1978,6275
Austria,AUT,1979,3011
Austria,AUT,1980,8361
Austria,AUT,1981,9876
Austria,AUT,1982,9003
Austria,AUT,1983,11869
Austria,AUT,1984,12338
Austria,AUT,1985,17289
Austria,AUT,1986,20840
Austria,AUT,1987,57673
Austria,AUT,1988,81334
Austria,AUT,1989,86743
Austria,AUT,1990,101527
Austria,AUT,1991,132875
Austria,AUT,1992,132352
Austria,AUT,1993,131396
Austria,AUT,1994,217069
Austria,AUT,1995,267596
Austria,AUT,1996,120757
Austria,AUT,1997,129084
Austria,AUT,1998,128374
Austria,AUT,1999,194265
Austria,AUT,2000,125353
Austria,AUT,2001,146525
Austria,AUT,2002,128647
Austria,AUT,2003,77720
Austria,AUT,2004,120815
Austria,AUT,2005,104303
Austria,AUT,2006,137303
Austria,AUT,2007,144706
Austria,AUT,2008,174592
Austria,AUT,2009,171073
Austria,AUT,2010,170584
Austria,AUT,2011,179669
Austria,AUT,2012,148869
Austria,AUT,2013,196828
Austria,AUT,2014,198286
Austria,AUT,2015,111745
Austria,AUT,2016,141893
Austria,AUT,2017,116835
Austria,AUT,2018,120690
Austria,AUT,2019,107170
Austria,AUT,2020,100280
Bangladesh,BGD,1961,98552
Bangladesh,BGD,1962,104648
Bangladesh,BGD,1963,105664
Bangladesh,BGD,1964,90424
Bangladesh,BGD,1965,91440
Bangladesh,BGD,1966,96500
Bangladesh,BGD,1967,103600
Bangladesh,BGD,1968,121900
Bangladesh,BGD,1969,130100
Bangladesh,BGD,1970,128000
Bangladesh,BGD,1971,138200
Bangladesh,BGD,1972,113945
Bangladesh,BGD,1973,107864
Bangladesh,BGD,1974,99070
Bangladesh,BGD,1975,116251
Bangladesh,BGD,1976,111557
Bangladesh,BGD,1977,114270
Bangladesh,BGD,1978,134103
Bangladesh,BGD,1979,220000
Bangladesh,BGD,1980,240000
Bangladesh,BGD,1981,214000
Bangladesh,BGD,1982,231000
Bangladesh,BGD,1983,238000
Bangladesh,BGD,1984,253654
Bangladesh,BGD,1985,285444
Bangladesh,BGD,1986,260565
Bangladesh,BGD,1987,228573
Bangladesh,BGD,1988,222008
Bangladesh,BGD,1989,206943
Bangladesh,BGD,1990,217410
Bangladesh,BGD,1991,227530
Bangladesh,BGD,1992,243040
Bangladesh,BGD,1993,244300
Bangladesh,BGD,1994,239080
Bangladesh,BGD,1995,245365
Bangladesh,BGD,1996,245885
Bangladesh,BGD,1997,249355
Bangladesh,BGD,1998,253640
Bangladesh,BGD,1999,253000
Bangladesh,BGD,2000,249000
Bangladesh,BGD,2001,238000
Bangladesh,BGD,2002,233000
Bangladesh,BGD,2003,217980
Bangladesh,BGD,2004,210570
Bangladesh,BGD,2005,191375
Bangladesh,BGD,2006,183465
Bangladesh,BGD,2007,188880
Bangladesh,BGD,2008,227930
Bangladesh,BGD,2009,202717
Bangladesh,BGD,2010,221928
Bangladesh,BGD,2011,246000
Bangladesh,BGD,2012,262000
Bangladesh,BGD,2013,294000
Bangladesh,BGD,2014,296000
Bangladesh,BGD,2015,359452
Bangladesh,BGD,2016,361909
Bangladesh,BGD,2017,362860
Bangladesh,BGD,2018,351537
Bangladesh,BGD,2019,311740
Bangladesh,BGD,2020,358249
Belarus,BLR,1992,34600
Belarus,BLR,1993,20700
Belarus,BLR,1994,18700
Belarus,BLR,1995,25700
Belarus,BLR,1996,18800
Belarus,BLR,1997,21300
Belarus,BLR,1998,52000
Belarus,BLR,1999,57200
Belarus,BLR,2000,72600
Belarus,BLR,2001,94900
Belarus,BLR,2002,59600
Belarus,BLR,2003,55508
Belarus,BLR,2004,142865
Belarus,BLR,2005,149855
Belarus,BLR,2006,115042
Belarus,BLR,2007,240085
Belarus,BLR,2008,513959
Belarus,BLR,2009,610968
Belarus,BLR,2010,374522
Belarus,BLR,2011,379296
Belarus,BLR,2012,704391
Belarus,BLR,2013,675546
Belarus,BLR,2014,729622
Belarus,BLR,2015,382381
Belarus,BLR,2016,260035
Belarus,BLR,2017,602451
Belarus,BLR,2018,456263
Belarus,BLR,2019,578255
Belarus,BLR,2020,731307
Belgium,BEL,2000,14200
Belgium,BEL,2001,18400
Belgium,BEL,2002,18300
Belgium,BEL,2003,16768
Belgium,BEL,2004,22895
Belgium,BEL,2005,24000
Belgium,BEL,2006,33976
Belgium,BEL,2007,40495
Belgium,BEL,2008,33228
Belgium,BEL,2009,41669
Belgium,BEL,2010,45665
Belgium,BEL,2011,52211
Belgium,BEL,2012,48431
Belgium,BEL,2013,60900
Belgium,BEL,2014,58500
Belgium,BEL,2015,50744
Belgium,BEL,2016,39452
Belgium,BEL,2017,46090
Belgium,BEL,2018,43300
Belgium,BEL,2019,33430
Belgium,BEL,2020,29910
Belgium-Luxembourg (FAO),,1961,158
Belgium-Luxembourg (FAO),,1962,313
Belgium-Luxembourg (FAO),,1963,111
Belgium-Luxembourg (FAO),,1964,114
Belgium-Luxembourg (FAO),,1965,191
Belgium-Luxembourg (FAO),,1966,136
Belgium-Luxembourg (FAO),,1967,1182
Belgium-Luxembourg (FAO),,1968,1637
Belgium-Luxembourg (FAO),,1969,1190
Belgium-Luxembourg (FAO),,1970,1314
Belgium-Luxembourg (FAO),,1971,1754
Belgium-Luxembourg (FAO),,1972,3215
Belgium-Luxembourg (FAO),,1973,2491
Belgium-Luxembourg (FAO),,1974,1429
Belgium-Luxembourg (FAO),,1975,1024
Belgium-Luxembourg (FAO),,1976,558
Belgium-Luxembourg (FAO),,1977,1164
Belgium-Luxembourg (FAO),,1978,1276
Belgium-Luxembourg (FAO),,1979,1264
Belgium-Luxembourg (FAO),,1980,1697
Belgium-Luxembourg (FAO),,1981,2411
Belgium-Luxembourg (FAO),,1982,5796
Belgium-Luxembourg (FAO),,1983,11179
Belgium-Luxembourg (FAO),,1984,12596
Belgium-Luxembourg (FAO),,1985,7049
Belgium-Luxembourg (FAO),,1986,9573
Belgium-Luxembourg (FAO),,1987,14947
Belgium-Luxembourg (FAO),,1988,12840
Belgium-Luxembourg (FAO),,1989,15548
Belgium-Luxembourg (FAO),,1990,21448
Belgium-Luxembourg (FAO),,1991,31273
Belgium-Luxembourg (FAO),,1992,19008
Belgium-Luxembourg (FAO),,1993,18493
Belgium-Luxembourg (FAO),,1994,22884
Belgium-Luxembourg (FAO),,1995,26000
Belgium-Luxembourg (FAO),,1996,27000
Belgium-Luxembourg (FAO),,1997,26000
Belgium-Luxembourg (FAO),,1998,29000
Belgium-Luxembourg (FAO),,1999,39000
Bosnia and Herzegovina,BIH,1992,2300
Bosnia and Herzegovina,BIH,1993,2400
Bosnia and Herzegovina,BIH,1994,2375
Bosnia and Herzegovina,BIH,1995,2298
Bosnia and Herzegovina,BIH,1996,2200
Bosnia and Herzegovina,BIH,1997,1904
Bosnia and Herzegovina,BIH,1998,811
Bosnia and Herzegovina,BIH,1999,1264
Bosnia and Herzegovina,BIH,2000,2300
Bosnia and Herzegovina,BIH,2001,3371
Bosnia and Herzegovina,BIH,2002,3000
Bosnia and Herzegovina,BIH,2003,66
Bosnia and Herzegovina,BIH,2004,403
Bosnia and Herzegovina,BIH,2005,995
Bosnia and Herzegovina,BIH,2006,2127
Bosnia and Herzegovina,BIH,2007,3925
Bosnia and Herzegovina,BIH,2008,1992
Bosnia and Herzegovina,BIH,2009,1835
Bosnia and Herzegovina,BIH,2010,1167
Bosnia and Herzegovina,BIH,2011,1530
Bosnia and Herzegovina,BIH,2012,562
Bosnia and Herzegovina,BIH,2013,1857
Bosnia and Herzegovina,BIH,2014,2047
Bosnia and Herzegovina,BIH,2015,2227
Bosnia and Herzegovina,BIH,2016,4443
Bosnia and Herzegovina,BIH,2017,6375
Bosnia and Herzegovina,BIH,2018,9813
Bosnia and Herzegovina,BIH,2019,8657
Bosnia and Herzegovina,BIH,2020,10142
Brazil,BRA,1980,3000
Brazil,BRA,1981,12400
Brazil,BRA,1982,15000
Brazil,BRA,1983,10000
Brazil,BRA,1984,9000
Brazil,BRA,1985,9000
Brazil,BRA,1986,9000
Brazil,BRA,1987,10000
Brazil,BRA,1988,10000
Brazil,BRA,1989,10000
Brazil,BRA,1990,10000
Brazil,BRA,1991,9000
Brazil,BRA,1992,10000
Brazil,BRA,1993,16000
Brazil,BRA,1994,12000
Brazil,BRA,1995,8000
Brazil,BRA,1996,9000
Brazil,BRA,1997,12000
Brazil,BRA,1998,26000
Brazil,BRA,1999,33000
Brazil,BRA,2000,41000
Brazil,BRA,2001,42000
Brazil,BRA,2002,55000
Brazil,BRA,2003,57000
Brazil,BRA,2004,57000
Brazil,BRA,2005,40000
Brazil,BRA,2006,41000
Brazil,BRA,2007,42000
Brazil,BRA,2008,44000
Brazil,BRA,2009,42000
Brazil,BRA,2010,70000
Brazil,BRA,2011,52000
Brazil,BRA,2012,61000
Brazil,BRA,2013,36000
Brazil,BRA,2014,55000
Brazil,BRA,2015,72000
Brazil,BRA,2016,60000
Brazil,BRA,2017,50000
Brazil,BRA,2018,49000
Brazil,BRA,2019,43000
Brazil,BRA,2020,44000
Bulgaria,BGR,1961,14830
Bulgaria,BGR,1962,6419
Bulgaria,BGR,1963,1249
Bulgaria,BGR,1964,2049
Bulgaria,BGR,1965,911
Bulgaria,BGR,1966,29
Bulgaria,BGR,1967,628
Bulgaria,BGR,1968,320
Bulgaria,BGR,1969,142
Bulgaria,BGR,1970,59
Bulgaria,BGR,1971,56
Bulgaria,BGR,1972,25
Bulgaria,BGR,1973,27
Bulgaria,BGR,1974,1
Bulgaria,BGR,1975,8
Bulgaria,BGR,1976,9
Bulgaria,BGR,1977,20
Bulgaria,BGR,1978,3
Bulgaria,BGR,1979,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,3000
Bulgaria,BGR,1994,6000
Bulgaria,BGR,1995,7000
Bulgaria,BGR,1996,6927
Bulgaria,BGR,1997,9830
Bulgaria,BGR,1998,8000
Bulgaria,BGR,1999,10000
Bulgaria,BGR,2000,20000
Bulgaria,BGR,2001,18800
Bulgaria,BGR,2002,8061
Bulgaria,BGR,2003,11291
Bulgaria,BGR,2004,22388
Bulgaria,BGR,2005,21778
Bulgaria,BGR,2006,28463
Bulgaria,BGR,2007,93018
Bulgaria,BGR,2008,231176
Bulgaria,BGR,2009,235490
Bulgaria,BGR,2010,544841
Bulgaria,BGR,2011,519910
Bulgaria,BGR,2012,271041
Bulgaria,BGR,2013,336731
Bulgaria,BGR,2014,527912
Bulgaria,BGR,2015,422092
Bulgaria,BGR,2016,509251
Bulgaria,BGR,2017,478987
Bulgaria,BGR,2018,472590
Bulgaria,BGR,2019,432490
Bulgaria,BGR,2020,279280
Canada,CAN,1961,254464
Canada,CAN,1962,132901
Canada,CAN,1963,189601
Canada,CAN,1964,300277
Canada,CAN,1965,512568
Canada,CAN,1966,585144
Canada,CAN,1967,560196
Canada,CAN,1968,439992
Canada,CAN,1969,757512
Canada,CAN,1970,1637496
Canada,CAN,1971,2154600
Canada,CAN,1972,1299564
Canada,CAN,1973,1206576
Canada,CAN,1974,1163484
Canada,CAN,1975,1839200
Canada,CAN,1976,836892
Canada,CAN,1977,1973160
Canada,CAN,1978,3497256
Canada,CAN,1979,3411072
Canada,CAN,1980,2483460
Canada,CAN,1981,1848500
Canada,CAN,1982,2246000
Canada,CAN,1983,2609000
Canada,CAN,1984,3412000
Canada,CAN,1985,3498000
Canada,CAN,1986,3786400
Canada,CAN,1987,3846200
Canada,CAN,1988,4218000
Canada,CAN,1989,3210000
Canada,CAN,1990,3266000
Canada,CAN,1991,4224200
Canada,CAN,1992,3872400
Canada,CAN,1993,5524900
Canada,CAN,1994,7232500
Canada,CAN,1995,6434200
Canada,CAN,1996,5062300
Canada,CAN,1997,6393100
Canada,CAN,1998,7643300
Canada,CAN,1999,8798300
Canada,CAN,2000,7205300
Canada,CAN,2001,5017100
Canada,CAN,2002,4520500
Canada,CAN,2003,6771200
Canada,CAN,2004,7673600
Canada,CAN,2005,9483300
Canada,CAN,2006,9000300
Canada,CAN,2007,9611100
Canada,CAN,2008,12644900
Canada,CAN,2009,12898100
Canada,CAN,2010,12788600
Canada,CAN,2011,14608100
Canada,CAN,2012,13868500
Canada,CAN,2013,18551000
Canada,CAN,2014,16410100
Canada,CAN,2015,18376500
Canada,CAN,2016,19599200
Canada,CAN,2017,21328100
Canada,CAN,2018,20342600
Canada,CAN,2019,19912300
Canada,CAN,2020,19484700
Central America (FAO),,1961,4000
Central America (FAO),,1962,2000
Central America (FAO),,1963,3000
Central America (FAO),,1964,2000
Central America (FAO),,1965,4000
Central America (FAO),,1966,5000
Central America (FAO),,1967,5000
Central America (FAO),,1968,5000
Central America (FAO),,1969,5000
Central America (FAO),,1970,6000
Central America (FAO),,1971,6000
Central America (FAO),,1972,6000
Central America (FAO),,1973,5000
Central America (FAO),,1974,6000
Central America (FAO),,1975,6000
Central America (FAO),,1976,6000
Central America (FAO),,1977,6000
Central America (FAO),,1978,6000
Central America (FAO),,1979,3000
Central America (FAO),,1980,3000
Central America (FAO),,1981,3000
Central America (FAO),,1982,3000
Central America (FAO),,1983,3000
Central America (FAO),,1984,2000
Central America (FAO),,1985,3
Central America (FAO),,1986,45
Central America (FAO),,1987,18
Central America (FAO),,1988,2
Central America (FAO),,1989,20
Central America (FAO),,1990,35
Central America (FAO),,1991,198
Central America (FAO),,1992,505
Central America (FAO),,1993,669
Central America (FAO),,1994,2051
Central America (FAO),,1995,1006
Central America (FAO),,1996,1342
Central America (FAO),,1997,680
Central America (FAO),,1998,2000
Central America (FAO),,1999,3000
Central America (FAO),,2000,14000
Central America (FAO),,2001,2000
Central America (FAO),,2002,1000
Central America (FAO),,2003,1000
Central America (FAO),,2004,2000
Central America (FAO),,2005,5000
Central America (FAO),,2006,8000
Central America (FAO),,2007,4000
Central America (FAO),,2008,4000
Central America (FAO),,2009,3000
Central America (FAO),,2010,8000
Central America (FAO),,2011,4000
Central America (FAO),,2012,3000
Central America (FAO),,2013,3000
Central America (FAO),,2014,2000
Central America (FAO),,2015,11000
Central America (FAO),,2016,4000
Central America (FAO),,2017,1000
Central America (FAO),,2018,2000
Central America (FAO),,2019,2000
Central America (FAO),,2020,3000
Central Asia (FAO),,1992,56040
Central Asia (FAO),,1993,18540
Central Asia (FAO),,1994,26129
